,GOOGL US Equity,FB US Equity,MSFT US Equity,UCG IM Equity,TMUS US Equity,BABA US Equity,9984 JP Equity,000660 KS Equity,KKR US Equity,ANTM US Equity,PYPL US Equity,IQV US Equity,LKQ US Equity,WLTW US Equity,AIR FP Equity,CTSH US Equity,BAC US Equity,LNC US Equity,AENA SM Equity,CMCSA US Equity,FLT US Equity,700 HK Equity,ADBE US Equity,FAF US Equity,HSY US Equity,3026 TT Equity,ZS US Equity,ZUO US Equity,2327 TT Equity,TRVG US Equity,2492 TT Equity,CBLK US Equity,SBH US Equity,BATS LN Equity,DF US Equity,TGT US Equity,AEO US Equity,DOCU US Equity,DLX US Equity,HIBB US Equity,PS US Equity,CDAY US Equity,6753 JP Equity,ENPH US Equity,EIF CN Equity,CM CN Equity,QD US Equity,NA CN Equity,AVLR US Equity,WDI GY Equity,CLX US Equity,DIGI MK Equity,BPY US Equity,CHD US Equity,FL US Equity,MO US Equity,ELLI US Equity,RMG LN Equity,WPG US Equity,K US Equity,DG US Equity,OZK US Equity,WAT US Equity,FLT AU Equity,SWCH US Equity,HFG GR Equity,SSYS US Equity,NPK US Equity,IWM US Equity,CAKE US Equity,RGR US Equity,AGN NA Equity,RLI US Equity,AAOI US Equity,001820 KS Equity,SSTK US Equity,NTRI US Equity,MAXIS MK Equity,CWB CN Equity,MYGN US Equity,AMN US Equity,HRL US Equity,4062 JP Equity,SPG US Equity,GSKY US Equity,SPY US Equity,QQQ US Equity
,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price
Dates,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST
6/12/2014,559.5,64.29,40.58,33.6757,33.02,#N/A N/A,7651,47400,24.24,107.1,#N/A N/A,52.14,26.34,113.7745,51.84,46.98,15.42,50.17,#N/A N/A,26.335,131.77,115.6,66.56,28.11,96.94,63.21,#N/A N/A,#N/A N/A,96.66,#N/A N/A,17.86,#N/A N/A,24.69,3555.5,17.67,57.24,11.06,#N/A N/A,56.76,53.45,#N/A N/A,#N/A N/A,3060,8.39,22.55,96.83,#N/A N/A,46.07,#N/A N/A,32.845,90.4,5.63,20.34,34.645,49.49,41.28,28.41,501,19.13,67.23,60.19,31.18,104.43,44.76,#N/A N/A,#N/A N/A,94.07,70.35,115.39,46.16,61.67,6.45,45,22.3,5730,79.91,16.7,6.75,38.88,33.87,11.38,24.165,1918,163.89,#N/A N/A,193.54,92.05
6/13/2014,560.35,64.5,41.23,33.8511,32.91,#N/A N/A,7769,47050,23.88,106.88,#N/A N/A,51.61,26,114.1984,51.28,47.41,15.44,50.55,#N/A N/A,26.235,132.35,116.1,66.82,28.12,97.64,63.07,#N/A N/A,#N/A N/A,103.32,#N/A N/A,17.51,#N/A N/A,24.84,3520,17.71,57.23,11.31,#N/A N/A,56.47,53.42,#N/A N/A,#N/A N/A,3140,8.43,22.65,97.1,#N/A N/A,46.12,#N/A N/A,32.1,90.07,5.67,20.49,34.57,49.44,41.45,28.46,498.1,19.16,67.21,60.69,31.155,104.89,43.53,#N/A N/A,#N/A N/A,95.6,70.5,115.59,46.63,60.37,6.421,45.13,21.86,5760,79.58,16.71,6.75,38.93,35.02,11.23,24.07,1958,164.14,#N/A N/A,194.13,92.32
6/16/2014,552.3,64.19,41.5,33.4,32.96,#N/A N/A,7673,48350,23.8,106.1,#N/A N/A,51.05,25.66,113.8275,50.54,47.77,15.28,50.47,#N/A N/A,26.175,133.12,116.6,67.62,28.2,98.05,64.14,#N/A N/A,#N/A N/A,99.62,#N/A N/A,17.65,#N/A N/A,24.61,3514.5,17.98,57.74,11.64,#N/A N/A,56.16,53.5,#N/A N/A,#N/A N/A,3100,8.57,22.47,97.4,#N/A N/A,46.07,#N/A N/A,31.925,90.14,5.67,20.7,34.81,49.85,41.81,28.87,488.7,19.35,67.44,61.55,31.785,104.66,44.58,#N/A N/A,#N/A N/A,97.79,70.47,116.15,46.68,60.69,6.375,45.01,22.71,5740,83.56,17.37,6.75,39.04,36.65,11.25,24.205,1945,163.51,#N/A N/A,194.29,92.4
6/17/2014,550.615,64.4,41.68,33.4502,33.06,#N/A N/A,7483,49350,24,106.06,#N/A N/A,51.25,25.75,114.2778,50.74,48.5,15.59,52.09,#N/A N/A,26.1,133.57,115.6,67.54,28.62,98.34,65.86,#N/A N/A,#N/A N/A,98.63,#N/A N/A,17.22,#N/A N/A,25.05,3544.5,18.15,58.17,11.77,#N/A N/A,57.29,53.76,#N/A N/A,#N/A N/A,3090,8.66,22.62,97.64,#N/A N/A,45.99,#N/A N/A,31.895,90.57,5.62,20.85,34.715,49.32,41.68,29.3,478.4,19.65,66.7,61.53,32.51,105.3,44.84,#N/A N/A,#N/A N/A,102.3,70.81,116.97,46.305,60.51,6.448,45.43,21.78,5750,83.33,17.37,6.76,39.08,36.76,11.45,24.26,1962,164.79,#N/A N/A,194.83,92.45
6/18/2014,560.66,65.6,41.65,33.5504,32.68,#N/A N/A,7610,49000,24.27,106.25,#N/A N/A,51.25,26.79,115.6818,50.12,49,15.65,52.09,#N/A N/A,26.33,133.73,116.2,73.08,28.58,99.25,65.07,#N/A N/A,#N/A N/A,103.57,#N/A N/A,17.44,#N/A N/A,25.03,3542,17.67,58.7,11.78,#N/A N/A,57.02,54.48,#N/A N/A,#N/A N/A,3140,8.8,22.76,97.71,#N/A N/A,45.85,#N/A N/A,32.14,91.28,5.6,20.72,34.855,49.98,42.35,29.22,480,19.72,66.84,61.43,32.615,107.2,45.4,#N/A N/A,#N/A N/A,102.53,71.4,117.76,46.055,61.45,6.634,45.71,23.04,5790,84.89,17.38,6.76,39.16,37.004,11.37,24.505,1980,166.5,#N/A N/A,196.255,92.97
6/19/2014,564.99,64.342,41.51,33.9763,33,#N/A N/A,7790,50700,24.28,107.69,#N/A N/A,52.93,26.48,115.4699,50.6,48.95,15.55,51.97,#N/A N/A,26.47,131.53,115.8,72.95,28.28,99.74,65.57,#N/A N/A,#N/A N/A,107.76,#N/A N/A,17.65,#N/A N/A,24.69,3585,17.54,58.74,11.5,#N/A N/A,57.1,54.17,#N/A N/A,#N/A N/A,3250,8.66,22.86,97.63,#N/A N/A,45.78,#N/A N/A,32.16,92.11,5.75,20.67,35.195,49.83,43.07,29.06,483.1,19.62,66.93,61.52,32.845,105.66,45.9,#N/A N/A,#N/A N/A,101.62,71.83,117.86,46.25,61.29,6.588,45.79,23.15,5760,83.53,17,6.75,38.94,37.31,11.6,24.76,2029,167.27,#N/A N/A,196.48,92.91
6/20/2014,566.52,64.5,41.68,33.1495,33.16,#N/A N/A,7783,49400,24.04,108.55,#N/A N/A,53.33,26.52,115.8408,50.19,49.41,15.45,52.61,#N/A N/A,26.37,131.3,115.8,72.61,28.12,100.13,65.29,#N/A N/A,#N/A N/A,107.02,#N/A N/A,17.44,#N/A N/A,24.26,3596,17.58,58.29,11.58,#N/A N/A,57.94,53.81,#N/A N/A,#N/A N/A,3250,8.47,23.04,97.4,#N/A N/A,45.77,#N/A N/A,31.99,91.71,5.72,20.8,35.03,49.63,43.12,29.19,483.7,19.14,67.24,62.82,33.425,106.07,45.01,#N/A N/A,#N/A N/A,102.12,72.34,118.25,46.31,60.31,6.565,46.17,23.58,5750,82.74,17.05,6.79,38.64,37.28,11.62,24.88,2062,167.43,#N/A N/A,195.94,92.77
6/23/2014,574.29,65.37,41.99,32.5982,33.06,#N/A N/A,7613,48900,23.88,108.65,#N/A N/A,52.95,26.04,115.7878,49.355,49.37,15.64,52.14,#N/A N/A,26.215,132.55,114.2,72.89,28.23,98.79,63.5,#N/A N/A,#N/A N/A,101.1,#N/A N/A,16.59,#N/A N/A,24.55,3544.5,17.55,58.42,11.62,#N/A N/A,57.16,54.02,#N/A N/A,#N/A N/A,3250,8.48,23.19,97.68,#N/A N/A,45.78,#N/A N/A,31.16,91.34,5.72,20.53,34.74,49.99,42.69,29.63,492.4,19.3,66.43,61.66,33.52,105.77,44.94,#N/A N/A,#N/A N/A,108.66,71.96,118.02,46.7,59.39,6.491,45.9,23.06,5720,82.08,17,6.77,38.81,37.01,11.62,24.595,2049,166.66,#N/A N/A,195.88,92.79
6/24/2014,572.54,65.72,41.745,31.7964,32.77,#N/A N/A,7639,50300,23.58,107.91,#N/A N/A,52.88,25.84,115.3904,49,49.06,15.49,51.41,#N/A N/A,26.32,131.1,114.9,72.38,27.98,97.95,64.21,#N/A N/A,#N/A N/A,103.57,#N/A N/A,16.59,#N/A N/A,24.82,3560,17.62,58.7,11.75,#N/A N/A,56.84,54.06,#N/A N/A,#N/A N/A,3220,8.38,23,97.52,#N/A N/A,45.33,#N/A N/A,31.63,91.48,5.74,20.6,34.675,49.47,42.35,30.02,496.5,19.16,65.87,61.69,32.93,104.99,44.5,#N/A N/A,#N/A N/A,107.92,72.29,116.76,46.6,58.6,6.518,45.33,23.46,5780,82.08,16.84,6.77,39.38,37.13,11.8,24.42,2059,166.37,#N/A N/A,194.7,92.7
6/25/2014,585.93,67.44,42.03,31.3955,33.02,#N/A N/A,7539,49800,23.62,108.74,#N/A N/A,52.69,26.39,115.1255,49.05,49.71,15.47,51.41,#N/A N/A,26.605,132.68,115.1,72.44,27.9,97.19,64.07,#N/A N/A,#N/A N/A,103.81,#N/A N/A,16.24,#N/A N/A,24.94,3522,17.61,58.06,11.67,#N/A N/A,57.13,55.05,#N/A N/A,#N/A N/A,3230,8.51,22.85,95.99,#N/A N/A,45.19,#N/A N/A,31.615,91.28,5.71,20.76,34.8,49.86,42.03,30.3,495,19.05,64.9,61.48,33.17,105.55,44.69,#N/A N/A,#N/A N/A,108.51,71.5,117.75,47.1,58.58,6.424,45.52,23.25,5680,86.48,17.09,6.76,39.2,37.77,12.02,24.31,2026,166.04,#N/A N/A,195.58,93.29
6/26/2014,584.77,67.13,41.72,30.8443,33.28,#N/A N/A,7605,48750,23.87,108.12,#N/A N/A,52.28,26.32,114.1719,48.535,49.39,15.41,51.57,#N/A N/A,26.8,131.57,118.4,72.85,27.61,96.56,65.43,#N/A N/A,#N/A N/A,103.07,#N/A N/A,16.87,#N/A N/A,24.77,3495,17.44,57.87,11.49,#N/A N/A,57.01,54.42,#N/A N/A,#N/A N/A,3230,8.5,22.6,96.09,#N/A N/A,45.24,#N/A N/A,31.455,91.12,5.73,20.75,34.7,49.32,41.9,30.01,498,18.95,64.82,61.68,33.35,104.92,44.8,#N/A N/A,#N/A N/A,109.13,71.17,117.55,47.12,58.63,6.38,45.19,22.68,5660,84.62,17.05,6.75,39.56,37.21,12.05,24.295,2050,165.79,#N/A N/A,195.44,93.34
6/27/2014,585.69,67.6,42.25,30.7942,33.28,#N/A N/A,7559,47500,24.2,107.55,#N/A N/A,51.92,26.65,114.2514,49.29,49.3,15.33,51.48,#N/A N/A,27.065,133.66,118.4,72,27.6,96.92,65,#N/A N/A,#N/A N/A,103.32,#N/A N/A,16.59,#N/A N/A,25.08,3476,17.78,58.12,11.55,#N/A N/A,57.82,54.64,#N/A N/A,#N/A N/A,3200,8.49,22.66,97.06,#N/A N/A,45.32,#N/A N/A,31.46,91.7,5.74,20.7,34.745,50.62,41.82,30.89,500,18.52,64.96,57.19,33.48,105.36,44.48,#N/A N/A,#N/A N/A,112.14,72.08,118.34,47.16,58.83,6.357,45.53,22.92,5670,83.34,16.99,6.75,39.65,38.81,12.36,24.525,2020,167.06,#N/A N/A,195.82,93.75
6/30/2014,584.67,67.29,41.7,30.6439,33.62,#N/A N/A,7543,48550,24.33,107.61,#N/A N/A,53.29,26.69,114.7017,48.94,48.91,15.37,51.44,#N/A N/A,26.84,131.8,118.2,72.36,27.79,97.37,65.86,#N/A N/A,#N/A N/A,104.8,#N/A N/A,16.66,#N/A N/A,25.08,3478,17.59,57.95,11.22,#N/A N/A,58.58,54.17,#N/A N/A,#N/A N/A,3250,8.55,22.61,97.1,#N/A N/A,45.26,#N/A N/A,31.53,91.4,5.73,20.87,34.975,50.72,41.94,31.13,499,18.74,65.7,57.36,33.45,104.44,44.45,#N/A N/A,#N/A N/A,113.63,72.84,118.81,46.42,59.01,6.374,45.78,23.2,5600,82.98,17.11,6.75,39.89,38.92,12.3,24.675,2040,166.28,#N/A N/A,195.72,93.91
7/1/2014,591.49,68.06,41.87,31.3955,33.41,#N/A N/A,7568,48450,24.49,108.38,#N/A N/A,53.56,27.02,116.4765,47.945,49.8,15.6,52.13,#N/A N/A,27.055,132.85,118.2,73.01,28.39,96.91,67,#N/A N/A,#N/A N/A,105.54,#N/A N/A,16.8,#N/A N/A,25.53,3524,17.74,58.37,11.32,#N/A N/A,60.14,55.05,#N/A N/A,#N/A N/A,3290,9,22.61,97.1,#N/A N/A,45.26,#N/A N/A,32.455,91.26,5.69,20.69,35.09,51.6,41.83,31.85,491.2,18.99,65.86,57.71,33.72,104.94,45.5,#N/A N/A,#N/A N/A,116.22,73.23,120.02,46.85,59.46,6.415,46.53,23.34,5660,85.06,17.19,6.74,39.89,39.15,12.65,24.595,2081,166.88,#N/A N/A,197.03,94.94
7/2/2014,590.78,66.45,41.9,31.4958,33.35,#N/A N/A,7626,50400,24.71,110.32,#N/A N/A,54.42,26.73,115.0725,47.29,49.87,15.85,52.21,#N/A N/A,27.2775,130.99,122.8,72.76,28.2,96.77,66.57,#N/A N/A,#N/A N/A,104.06,#N/A N/A,16.52,#N/A N/A,25.58,3531.5,17.61,58.77,11.16,#N/A N/A,58.85,54.94,#N/A N/A,#N/A N/A,3330,9.07,22.56,97.34,#N/A N/A,45.43,#N/A N/A,32.91,91.71,5.71,20.74,34.53,51.41,41.87,32.03,479.1,18.97,66.05,58.12,33.55,104.7,45.37,#N/A N/A,#N/A N/A,116.28,73.38,119.1,46.54,59.62,6.401,45.91,23.2,5640,85.32,17.17,6.75,39.99,38.44,12.44,24.18,2060,166.74,#N/A N/A,197.23,95.1
7/3/2014,593.08,66.29,41.8,32.022,33.33,#N/A N/A,7640,50900,24.86,110.16,#N/A N/A,54.96,27.06,115.0725,47.765,50.3,16.03,53.28,#N/A N/A,27.45,132.69,124.7,73.57,28.41,96.63,67.14,#N/A N/A,#N/A N/A,107.02,#N/A N/A,16.52,#N/A N/A,25.94,3584,17.74,59.51,11.3,#N/A N/A,59.71,55.43,#N/A N/A,#N/A N/A,3330,9.36,22.22,97.68,#N/A N/A,45.69,#N/A N/A,32.995,91.9,5.7,20.97,34.075,51.74,42.39,32.3,477,19.22,66.41,58.22,34.23,105.82,46.6,#N/A N/A,#N/A N/A,116.2,75.31,119.82,46.87,59.9,6.601,46.51,23.25,5620,85.41,17.4,6.72,40.11,37.9,12.5,24.235,2074,166.13,#N/A N/A,198.2,95.7
7/4/2014,593.08,66.29,41.8,30.9946,33.33,#N/A N/A,7662,50400,24.86,110.16,#N/A N/A,54.96,27.06,115.0725,47.975,50.3,16.03,53.28,#N/A N/A,27.45,132.69,125.1,73.57,28.41,96.63,66.5,#N/A N/A,#N/A N/A,105.78,#N/A N/A,16.73,#N/A N/A,25.94,3603,17.74,59.51,11.3,#N/A N/A,59.71,55.43,#N/A N/A,#N/A N/A,3360,9.36,22.42,97.85,#N/A N/A,45.8,#N/A N/A,32.92,91.9,5.69,20.97,34.075,51.74,42.39,32.3,476.7,19.22,66.41,58.22,34.23,105.82,47.1,#N/A N/A,#N/A N/A,116.2,75.31,119.82,46.87,59.9,6.569,46.51,23.25,5600,85.41,17.4,6.69,40.63,37.9,12.5,24.235,2109,166.13,#N/A N/A,198.2,95.7
7/7/2014,590.76,65.29,41.99,30.5186,32.99,#N/A N/A,7636,51600,25,109.13,#N/A N/A,55.3,27.11,114.5957,47.255,50.47,15.94,52.8,#N/A N/A,27.09,131.02,125.4,72.68,27.93,96.81,65.14,#N/A N/A,#N/A N/A,104.31,#N/A N/A,17.01,#N/A N/A,26.14,3575,17.16,59.99,11.13,#N/A N/A,58.93,55.1,#N/A N/A,#N/A N/A,3360,9.25,22.02,97.73,#N/A N/A,45.71,#N/A N/A,32.455,92.12,5.69,20.55,33.91,51.05,42.62,31.25,477.2,19.2,65.86,57.74,33.77,104.86,47,#N/A N/A,#N/A N/A,113.58,72.68,117.77,46.8,58.95,6.498,46.16,22.24,5620,82.64,17.33,6.72,40.52,37.65,12.49,24.535,2085,166.48,#N/A N/A,197.51,95.41
7/8/2014,578.4,62.76,41.78,29.5163,32.55,#N/A N/A,7537,51900,24.56,109.46,#N/A N/A,54.92,26.49,113.907,46.855,50.41,15.58,51.8,#N/A N/A,26.655,129.71,125.3,71.14,27.99,96.93,65.57,#N/A N/A,#N/A N/A,103.81,#N/A N/A,17.65,#N/A N/A,26.27,3555.5,16.99,59.8,11.2,#N/A N/A,58.2,54.8,#N/A N/A,#N/A N/A,3350,9.16,21.64,97.65,#N/A N/A,45.93,#N/A N/A,31.74,92.07,5.7,20.53,33.805,50.71,42.71,29.99,468.6,19.49,66.06,57.36,33.3,103.61,46.55,#N/A N/A,#N/A N/A,105.31,72.99,116.34,46.25,58.64,6.408,45.98,22.45,5620,77.07,17.32,6.71,40.21,37.05,12.42,24.485,2082,166.71,#N/A N/A,196.24,94.26
7/9/2014,583.36,64.97,41.67,29.817,33.03,#N/A N/A,7573,49750,24.85,110.87,#N/A N/A,55.05,27.03,113.907,47.005,50.37,15.6,52.21,#N/A N/A,27.365,129.75,121.2,71.57,27.88,96.64,65.14,#N/A N/A,#N/A N/A,101.35,#N/A N/A,17.29,#N/A N/A,25.91,3547.5,17.15,60.05,11.16,#N/A N/A,58.57,55.11,#N/A N/A,#N/A N/A,3300,9.26,20,97.96,#N/A N/A,46.37,#N/A N/A,31.265,92.81,5.69,20.47,34.09,50.74,42.8,30.24,469.7,19.52,66.1,57.53,33.16,103.53,45.5,#N/A N/A,#N/A N/A,104.98,72.52,116.49,46.75,58.46,6.431,45.91,22.97,5620,77.2,17.59,6.69,40.5,37.7,12.38,24.455,2041,167.66,#N/A N/A,197.12,94.96
7/10/2014,580.04,64.873,41.685,29.0653,32.88,#N/A N/A,7486,49300,24.46,110.76,#N/A N/A,55.55,26.57,113.4302,46.815,50.01,15.44,51.81,#N/A N/A,27.1775,128.84,122.2,71.7,27.58,96.28,65.43,#N/A N/A,#N/A N/A,102.09,#N/A N/A,16.8,#N/A N/A,25.44,3521,16.7,59.93,10.91,#N/A N/A,57.66,54.25,#N/A N/A,#N/A N/A,3250,9.17,19.07,97.81,#N/A N/A,46.3,#N/A N/A,29.945,93.03,5.69,20.49,34.02,50.61,42.95,29.99,474.3,19.31,65.88,57.36,33.08,102.19,45.51,#N/A N/A,#N/A N/A,103.3,71.73,115.25,46.34,58.06,6.377,45.33,22.69,5700,76.83,17.49,6.7,40.72,37.6,12.27,24.355,2016,168.22,#N/A N/A,196.34,94.66
7/11/2014,586.65,66.34,42.09,29.0403,33.5,#N/A N/A,7480,48950,24.7,110.9,#N/A N/A,55.39,26.6,113.6951,47.11,49.7,15.38,52.07,#N/A N/A,27.275,129.68,121.6,72.26,27.79,96.45,64.07,#N/A N/A,#N/A N/A,99.13,#N/A N/A,16.24,#N/A N/A,25.13,3528,17.46,60,10.75,#N/A N/A,57.45,53.23,#N/A N/A,#N/A N/A,3200,9.34,19,97.65,#N/A N/A,46.4,#N/A N/A,30.145,92.77,5.69,20.53,33.86,49.98,43.43,29.89,476.9,19.37,65.95,56.79,32.8,102.8,45.32,#N/A N/A,#N/A N/A,104.37,70.62,115.1,45.9,58,6.334,45.26,23.38,5690,76.9,17.82,6.7,40.21,38.06,12.54,24.38,1998,168.99,#N/A N/A,196.61,95.27
7/14/2014,594.26,67.9,42.14,29.7168,33.02,#N/A N/A,7649,49350,24.99,113.15,#N/A N/A,55.02,26.73,113.2447,47.135,49.95,15.57,52.62,#N/A N/A,27.525,132.47,122.8,72.88,27.96,94.99,65.64,#N/A N/A,#N/A N/A,98.63,#N/A N/A,16.31,#N/A N/A,25,3595.5,17.41,60.18,10.64,#N/A N/A,57.9,52.94,#N/A N/A,#N/A N/A,3240,9.69,18.67,98.03,#N/A N/A,46.57,#N/A N/A,30.425,93.13,5.71,20.77,33.745,49.77,43.35,30.11,483,19.25,66.2,56.64,32.94,103.29,45.72,#N/A N/A,#N/A N/A,104.62,71.1,115.69,45.95,59.06,6.389,45.71,22.97,5690,77.34,18.15,6.7,40.22,40.41,12.81,24.375,2040,169.41,#N/A N/A,197.6,95.84
7/15/2014,593.06,67.165,42.45,29.0904,32.1,#N/A N/A,7692,49750,25.09,112.77,#N/A N/A,55.1,26.62,112.3176,46.505,49.51,15.81,52.68,#N/A N/A,27.445,132.24,123.8,72.29,27.83,94.66,66,#N/A N/A,#N/A N/A,99.62,#N/A N/A,16.31,#N/A N/A,25.01,3532,17.38,60.71,10.51,#N/A N/A,57.52,52.94,#N/A N/A,#N/A N/A,3250,9.54,18.48,98.24,#N/A N/A,46.74,#N/A N/A,29.85,92.49,5.71,20.59,34.06,49.54,41.76,30.04,488.7,19.08,65.56,55.94,33.58,101.9,46,#N/A N/A,#N/A N/A,104.04,70.25,114.55,44.88,58.13,6.335,45.6,23.36,5660,75.73,18.19,6.7,40.31,39.11,12.58,24.225,2054,170.27,#N/A N/A,197.23,95.51
7/16/2014,590.62,67.66,44.08,29.817,32.24,#N/A N/A,7753,51000,25.23,112.18,#N/A N/A,54.9,26.25,112.556,45.36,49.41,15.51,52.52,#N/A N/A,27.525,131.95,124.3,72.38,27.6,92.34,66.43,#N/A N/A,#N/A N/A,100.36,#N/A N/A,15.96,#N/A N/A,24.67,3508.5,17.21,60.14,10.5,#N/A N/A,57.03,52.21,#N/A N/A,#N/A N/A,3230,9.41,18.43,98.57,#N/A N/A,46.97,#N/A N/A,30.12,92.63,5.63,20.6,33.925,48.2,41.82,29.7,479.5,19.13,66.02,55.57,32.82,101.5,46.33,#N/A N/A,#N/A N/A,102.7,70.75,114.24,44.85,58,6.435,45.58,22.51,5570,75.49,18,6.76,40.57,38.55,12.7,24.075,2074,170.86,#N/A N/A,197.96,95.89
7/17/2014,580.82,66.41,44.53,28.8398,31.96,#N/A N/A,7677,51500,24.93,113.44,#N/A N/A,54.48,25.74,112.45,44.98,48.64,15.2,51.67,#N/A N/A,27.1,128.64,123.5,71.39,26.97,92.17,66.79,#N/A N/A,#N/A N/A,101.59,#N/A N/A,16.03,#N/A N/A,24.14,3535,17.5,59.72,10.51,#N/A N/A,56.13,51.57,#N/A N/A,#N/A N/A,3280,9.22,19.1,98.46,#N/A N/A,47.01,#N/A N/A,29.995,92.04,5.6,20.61,33.715,47.13,41.58,28.05,470,19.09,65.91,54.41,31.62,99.25,47.09,#N/A N/A,#N/A N/A,102.28,69.07,112.48,44.06,57.91,6.323,44.64,21.46,5580,74.22,17.39,6.76,40.46,37.38,12.53,23.965,2056,169.61,#N/A N/A,195.71,94.619
7/18/2014,605.11,68.42,44.69,29.366,32.22,#N/A N/A,7654,50800,25.11,114.93,#N/A N/A,55.21,25.88,112.5295,44.48,49.44,15.49,52.65,#N/A N/A,27.27,129.55,122.9,72.55,27.64,93.85,67.29,#N/A N/A,#N/A N/A,103.32,#N/A N/A,16.17,#N/A N/A,24.47,3532,17.61,60.01,10.72,#N/A N/A,56.94,52.05,#N/A N/A,#N/A N/A,3210,9.7,19.28,98.56,#N/A N/A,47.73,#N/A N/A,29.555,92.25,5.6,20.5,33.89,48.67,42.17,28.63,471.7,19.16,66.17,55.45,31.88,101.52,46.29,#N/A N/A,#N/A N/A,104.4,70.07,114.23,44.44,58.29,6.308,45.32,21.54,5590,76.62,18.03,6.76,40.8,38.78,12.73,24.265,2020,171.03,#N/A N/A,197.7099,96.12
7/21/2014,598.44,69.4,44.835,28.7145,31.79,#N/A N/A,7654,50500,25.21,114.43,#N/A N/A,55.27,25.76,112.6884,43.29,49.35,15.52,52.29,#N/A N/A,26.91,130.27,121.5,71.96,27.78,93.28,68.21,#N/A N/A,#N/A N/A,101.1,#N/A N/A,16.24,#N/A N/A,24.16,3500,17.08,59.3,10.51,#N/A N/A,56.49,51.98,#N/A N/A,#N/A N/A,3210,11.36,18.68,98.6,#N/A N/A,47.67,#N/A N/A,29.18,90.91,5.59,20.56,33.815,48.48,42.01,28.46,466,18.95,66.1,55.33,31.56,101.3,47.08,#N/A N/A,#N/A N/A,103.11,70.54,113.77,43.94,58.54,6.217,45.17,22.32,5610,76.25,18.03,6.74,40.87,37.97,12.68,24.005,2020,170.41,#N/A N/A,197.34,96
7/22/2014,603.57,69.27,44.83,28.915,31.63,#N/A N/A,7696,51000,25.25,115.32,#N/A N/A,54.97,25.55,113.1653,44.405,50.47,15.52,52.85,#N/A N/A,27.315,132.64,124.1,72.26,28.23,93.51,68.21,#N/A N/A,#N/A N/A,100.11,#N/A N/A,16.38,#N/A N/A,24.35,3528.5,16.93,59.38,10.43,#N/A N/A,57.22,51.9,#N/A N/A,#N/A N/A,3230,11.59,18.59,99.26,#N/A N/A,48.08,#N/A N/A,29.615,90.34,5.59,20.63,33.355,48.07,41.93,28.72,450,18.97,66.27,55.12,31.25,107.16,47.11,#N/A N/A,#N/A N/A,103.16,70.79,114.73,44.32,58.24,6.201,44.9,22.73,5630,76.11,18.05,6.74,41.14,37.17,12.93,24.125,2031,171.33,#N/A N/A,198.2,96.61
